item,2013-01-28,2013-02-07,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17,2013-03-24,2013-03-31,2013-04-07,2013-04-14,2013-04-21,2013-04-28,2013-05-05,2013-05-12,2013-05-19,2013-05-26,2013-06-02,2013-06-09,2013-06-16,2013-06-23,2013-06-30,2013-07-07,2013-07-14,2013-07-21,2013-07-28,2013-08-04,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-16,2014-07-22,2014-08-01,2014-08-03,2014-08-10,2014-08-23,2014-08-28,2014-09-01,2014-09-07,2014-09-14,2014-09-21,2014-09-29,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,3251,4259,5395,5625,4331,2838,1484,1332,1194,48,23,11,9,10,4,10,1,18,10,0,6,1,12,0,0,0,0,22,5,26,17,9
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,491,528,603,567,407,303,121,121,108,12,7,4,1,1,1,1,1,3,3,0,2,1,3,0,0,0,0,1,2,2,2,1
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,60,90,87,109,105,85,72,46,38,23,8,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,49,92,106,210,135,92,78,56,45,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,28,28,58,39,27,28,16,13,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,99,238,238,390,304,341,205,92,92,40,7,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,53,87,82,105,96,79,67,42,37,18,7,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7601,18235,16066,16807,19133,18734,16479,15881,11276,7681,5841,4854,4225,4761,3611,2592,1785,2343,1877,1576,1271,784,674,1395,451,276,364,393,196,501,374,358,304,83
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341,2499,2224,1845,1718,1467,1331,1204,699,488,402,324,303,395,205,160,136,132,119,145,95,55,47,47,35,26,30,28,18,27,30,38,30,9
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818,6916,5970,7573,9176,9352,9455,9370,8267,5363,4100,3774,2712,2128,2855,2070,1089,1790,1373,1098,882,575,379,1151,211,143,257,299,112,311,113,217,217,48
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,781,716,641,620,516,483,481,274,145,112,97,74,67,69,52,41,47,33,36,20,18,13,14,7,4,7,7,4,10,6,8,9,3
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4783,11319,10096,9234,9957,9382,7024,6511,3009,2318,1741,1080,1513,2633,756,522,696,553,504,478,389,209,295,244,240,133,107,94,84,190,261,141,87,35
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,2187,1891,1494,1379,1182,1019,886,511,398,333,258,257,358,158,128,111,108,99,122,82,44,39,37,32,23,24,24,15,20,26,32,24,7
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,932,1056,817,741,497,451,499,217,196,205,44,212,519,357,33,22,11,13,11,9,2,4,8,3,7,1,9,1,3,7,0,1,0
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,488,466,322,285,195,164,130,73,51,39,20,40,94,305,26,15,9,9,7,5,2,3,4,2,4,1,3,1,2,3,0,1,0
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,173,53,26,22,17,5,8,1,7,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,173,52,26,22,17,5,8,1,7,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quiz_video_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6077,17836,20644,16636,15287,14448,11170,8235,4371,2948,2145,1256,1679,3761,846,472,532,745,706,431,459,275,356,396,413,211,113,131,154,301,450,190,141,56
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,1053,1071,925,867,763,638,521,275,194,156,98,108,196,43,39,40,36,44,31,24,21,18,17,18,12,11,10,9,7,12,15,10,3
registrations,3,441,358,347,286,183,132,151,183,149,147,119,121,123,162,126,127,117,111,127,136,108,95,99,124,96,109,99,112,132,170,147,169,301,284,200,242,250,224,275,311,307,326,287,338,272,271,249,298,365,378,458,526,597,648,1118,1011,828,343,279,197,207,158,160,142,122,130,136,175,130,124,96,99,98,137,56,1,2,1,0,3,1,1,4,0,0,0,2,0
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,597,748,684,709,653,473,388,172,149,130,30,47,98,305,27,16,10,10,8,7,2,5,5,4,4,1,3,1,3,5,2,3,1
