item,1970-01-01,2012-07-17,2012-07-22,2012-07-29,2012-08-05,2012-08-12,2012-08-19,2012-08-26,2012-09-02,2012-09-09,2012-09-16,2012-09-23,2012-09-30,2012-10-07,2012-10-14,2012-10-21,2012-10-28,2012-11-04,2012-11-11,2012-11-18,2012-11-25,2012-12-02,2012-12-09,2012-12-16,2012-12-23,2013-01-03,2013-01-07,2013-01-13,2013-01-25,2013-02-02,2013-02-09,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-22,2013-03-25,2013-04-03,2013-04-07,2013-04-14,2013-04-21,2013-04-28,2013-05-05,2013-05-14,2013-05-19,2013-05-26,2013-06-02,2013-06-11,2013-06-16,2013-06-23,2013-07-01,2013-07-07,2013-07-14,2013-07-21,2013-07-28,2013-08-04,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-09,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-18,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-26,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,32,1020,19827,38462,36118,29587,16818,27890,24367,16964,12482,5744,416,361,242,360,375,289,170,128,69,74,57,31,30,28,21,28,9,34,31,15,7,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,0,0,2,5,2,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
assignment_unique,0,0,0,0,0,0,0,0,19,541,8027,13587,12581,10592,4934,6806,7693,5800,4119,1966,158,137,102,131,118,97,66,51,35,29,26,13,14,10,10,17,6,13,14,9,5,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,2,4,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
forum_combined_unique,0,0,0,0,0,0,0,0,1,134,1246,1128,902,873,480,529,628,557,294,166,99,162,12,21,7,2,4,3,3,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,87,1204,1522,1047,1168,656,530,827,483,365,139,55,155,4,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,33,516,544,465,447,251,246,327,209,145,86,41,100,4,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,1,247,2089,1703,1491,1458,758,786,903,777,374,165,87,130,10,15,8,3,4,3,3,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,1,126,1065,908,700,697,378,432,500,476,227,118,72,99,9,14,6,2,4,3,3,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,218772,213391,173014,167507,141779,172197,193661,132427,72302,74046,31275,29584,21206,23853,19468,14535,10831,9644,8467,8450,9467,6333,6170,5019,4509,3952,4761,4754,3186,2582,2028,2760,3312,2309,2465,1700,2400,2031,2663,2298,1763,2432,1755,1453,1679,3343,2403,2009,2405,7079,3173,2999,3019,2748,1431,1598,2079,2314,1303,5453,3360,2242,1762,3158,2106,1749,2176,1657,1250,1894,1387,930,617,515,1119,1345,1366,942,1434,713,742,1182,670,617,697,545,712,290,538,342,719,151,218,265,883,571,253,401,235,282,399,280,259,1332,390,458,325,59
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,23652,22704,18545,16386,13135,12661,12580,9560,5986,3275,2065,2012,1584,1653,1140,925,784,654,648,500,491,401,373,377,335,332,396,416,225,217,182,176,161,158,163,149,144,164,149,161,154,158,132,133,129,145,134,135,121,213,175,177,201,151,129,103,121,117,109,401,250,162,123,118,130,104,91,102,91,82,87,67,58,58,62,60,53,59,74,55,57,59,71,74,65,69,54,47,52,39,42,31,39,36,45,30,24,43,40,26,39,38,42,40,39,40,36,9
lecture_download_total,0,0,0,0,0,0,0,0,0,0,55976,60098,53780,64862,63115,79116,95364,80618,43660,60417,21896,20077,13116,15667,12286,8960,6023,6751,5378,5725,7290,4447,4446,3143,3032,2432,2849,3227,2095,1640,1387,2050,2758,1755,1957,1144,1854,1425,2062,1597,981,1661,1093,893,1109,2648,1568,1409,1738,6263,2381,2227,2317,2202,942,1185,1596,1831,766,3868,2443,1640,1210,2619,1481,1322,1698,1184,700,1553,1056,638,424,300,877,1062,1144,724,1142,464,391,946,411,337,455,283,514,67,347,145,591,53,128,123,709,360,111,114,134,208,266,95,75,1137,119,252,60,44
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,6104,6431,5749,5614,4463,4772,5291,3431,1787,915,566,547,395,452,282,218,190,170,156,126,143,113,109,85,87,74,88,103,46,46,52,46,41,48,53,47,42,50,38,45,35,37,32,29,47,44,28,37,28,55,58,44,62,49,40,18,43,36,32,118,70,47,35,38,38,34,31,39,30,25,24,13,14,16,25,21,22,14,26,14,10,19,13,13,13,8,10,4,16,4,8,5,5,6,6,3,6,5,5,5,7,3,6,11,4,7,3,1
lecture_view_total,0,0,0,0,0,0,0,0,0,0,162796,153293,119234,102645,78664,93081,98297,51809,28642,13629,9379,9507,8090,8186,7182,5575,4808,2893,3089,2725,2177,1886,1724,1876,1477,1520,1912,1527,1091,942,641,710,554,554,508,556,546,606,601,701,782,771,662,560,570,695,835,600,667,816,792,772,702,546,489,413,483,483,537,1585,917,602,552,539,625,427,478,473,550,341,331,292,193,215,242,283,222,218,292,249,351,236,259,280,242,262,198,223,191,197,128,98,90,142,174,211,142,287,101,74,133,185,184,195,271,206,265,15
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,22327,20392,15997,13723,10729,10275,10126,7769,5066,2753,1711,1708,1368,1404,990,811,688,558,561,423,392,334,311,315,282,286,344,358,203,188,146,141,132,119,125,116,111,131,124,131,128,131,110,112,94,116,112,112,104,170,140,146,153,113,95,90,91,95,87,325,202,126,94,96,106,76,71,78,73,68,69,57,47,47,43,50,40,49,56,47,51,49,63,65,58,64,49,43,38,35,36,28,35,32,39,28,21,40,35,22,35,38,39,33,36,34,34,8
quiz_video_total,0,0,0,0,0,0,0,0,0,0,86096,112823,76580,49555,46814,39804,33083,18332,9866,4925,4156,4178,3512,3738,3465,2486,1728,1080,1338,1126,874,587,584,714,522,606,679,530,439,311,225,293,190,202,140,251,178,274,269,240,255,310,308,226,210,249,320,250,280,399,372,356,282,203,176,199,143,142,272,601,336,248,244,290,285,180,198,172,117,152,140,107,81,86,129,138,75,142,132,34,53,95,73,64,104,67,34,78,41,94,31,35,21,89,56,86,24,45,27,17,51,60,31,63,90,49,101,7
quiz_video_unique,0,0,0,0,0,0,0,0,0,0,9552,12087,10225,8686,6695,6696,6474,3945,2036,802,557,507,443,459,399,332,262,185,181,151,124,111,96,107,82,81,91,81,64,55,37,34,33,32,28,20,30,37,36,38,34,41,42,27,26,34,40,32,35,49,42,52,41,33,29,32,28,24,31,83,56,35,34,34,37,28,28,20,20,17,17,21,14,9,17,14,12,16,15,8,9,10,10,13,16,9,10,12,5,8,4,5,5,10,9,11,6,9,5,3,8,7,5,11,12,9,11,2
registrations,6822,9771,2290,1429,1543,1641,2515,2111,2349,3515,11045,4641,2321,1853,1389,1161,1046,1182,1002,1086,1171,1474,897,998,409,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work_combined_unique,0,0,0,0,0,0,0,0,19,541,8027,13587,12581,10592,4934,6806,7693,5800,4119,1966,158,137,102,131,118,97,66,51,35,29,26,13,14,10,10,17,6,13,14,9,5,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,2,4,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
